"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.03.2024","520,39","515,61","520,61","515,08","60,61M","0,91%"
"19.03.2024","515,71","512,15","515,99","511,12","60,45M","0,56%"
"18.03.2024","512,86","514,00","515,48","512,44","87,13M","0,59%"
"15.03.2024","509,83","510,21","511,70","508,12","106,80M","-0,99%"
"14.03.2024","514,95","516,97","517,13","511,82","104,58M","-0,20%"
"13.03.2024","515,97","517,11","517,29","514,49","54,70M","-0,16%"
"12.03.2024","516,78","513,45","517,38","510,86","72,47M","1,08%"
"11.03.2024","511,28","510,48","511,88","508,50","62,56M","-0,09%"
"08.03.2024","511,72","515,46","518,22","511,13","86,53M","-0,60%"
"07.03.2024","514,81","513,14","515,89","509,81","57,93M","0,99%"
"06.03.2024","509,75","510,55","512,07","508,42","67,38M","0,51%"
"05.03.2024","507,18","510,24","510,70","504,91","72,54M","-1,00%"
"04.03.2024","512,30","512,03","514,20","512,00","48,97M","-0,11%"
"01.03.2024","512,85","508,98","513,29","508,56","76,84M","0,94%"
"29.02.2024","508,08","508,07","509,74","505,35","82,42M","0,36%"
"28.02.2024","506,26","505,33","506,86","504,96","55,78M","-0,13%"
"27.02.2024","506,93","506,70","507,16","504,75","47,97M","0,19%"
"26.02.2024","505,99","508,30","508,75","505,86","49,49M","-0,37%"
"23.02.2024","507,85","509,27","510,13","507,10","61,32M","0,07%"
"22.02.2024","507,50","504,01","508,49","503,02","75,62M","2,07%"
"21.02.2024","497,21","495,42","497,37","493,56","57,22M","0,09%"
"20.02.2024","496,76","497,72","498,41","494,45","71,29M","-0,55%"
"16.02.2024","499,51","501,70","502,87","498,75","75,53M","-0,50%"
"15.02.2024","502,01","499,29","502,20","498,80","60,73M","0,69%"
"14.02.2024","498,57","496,79","499,07","494,40","67,71M","0,91%"
"13.02.2024","494,08","494,53","495,85","490,71","111,91M","-1,38%"
"12.02.2024","500,98","501,17","503,50","500,24","55,47M","-0,04%"
"09.02.2024","501,20","498,84","501,65","498,49","63,98M","0,58%"
"08.02.2024","498,32","498,10","498,71","497,26","51,87M","0,04%"
"07.02.2024","498,10","496,29","498,53","495,36","69,77M","0,83%"
"06.02.2024","493,98","493,52","494,32","492,05","55,92M","0,29%"
"05.02.2024","492,55","493,70","494,38","490,23","75,18M","-0,36%"
"02.02.2024","494,35","489,65","496,05","489,30","99,23M","1,05%"
"01.02.2024","489,20","484,63","489,23","483,80","89,77M","1,31%"
"31.01.2024","482,88","488,62","489,08","482,86","124,87M","-1,63%"
"30.01.2024","490,89","490,56","491,62","490,11","56,67M","-0,08%"
"29.01.2024","491,27","487,73","491,42","487,17","58,99M","0,79%"
"26.01.2024","487,41","487,59","489,12","486,54","76,64M","-0,13%"
"25.01.2024","488,03","487,58","488,30","485,39","71,98M","0,54%"
"24.01.2024","485,39","487,81","488,77","484,88","80,47M","0,11%"
"23.01.2024","484,86","484,01","485,11","482,89","49,19M","0,29%"
"22.01.2024","483,45","484,01","485,22","482,78","74,94M","0,21%"
"19.01.2024","482,43","477,65","482,72","476,54","110,83M","1,25%"
"18.01.2024","476,49","474,01","477,06","472,42","91,23M","0,89%"
"17.01.2024","472,29","471,82","472,79","469,87","67,95M","-0,56%"
"16.01.2024","474,93","475,26","476,61","473,06","84,58M","-0,37%"
"12.01.2024","476,68","477,84","478,60","475,23","58,03M","0,07%"
"11.01.2024","476,35","477,59","478,12","472,26","77,56M","-0,04%"
"10.01.2024","476,56","474,16","477,45","473,87","66,98M","0,57%"
"09.01.2024","473,88","471,87","474,93","471,35","65,67M","-0,15%"
"08.01.2024","474,60","468,43","474,75","468,30","74,56M","1,43%"
"05.01.2024","467,92","467,49","470,44","466,43","86,12M","0,14%"
"04.01.2024","467,28","468,30","470,96","467,05","83,56M","-0,32%"
"03.01.2024","468,79","470,43","471,19","468,17","102,39M","-0,82%"
"02.01.2024","472,65","472,16","473,67","470,49","120,66M","-0,56%"
"29.12.2023","475,31","476,49","477,03","473,30","122,28M","-0,29%"
"28.12.2023","476,69","476,88","477,55","476,26","76,60M","0,04%"
"27.12.2023","476,51","475,44","476,66","474,89","65,51M","0,18%"
"26.12.2023","475,65","474,07","476,58","473,99","54,96M","0,42%"
"22.12.2023","473,65","473,86","475,38","471,70","67,16M","0,20%"
"21.12.2023","472,70","471,33","472,98","468,84","85,17M","0,95%"
"20.12.2023","468,26","473,96","475,89","467,82","97,15M","-1,39%"
"19.12.2023","474,84","472,53","474,92","472,45","53,00M","0,61%"
"18.12.2023","471,97","470,98","472,98","469,89","70,38M","0,56%"
"15.12.2023","469,33","469,49","470,70","467,43","141,55M","-0,57%"
"14.12.2023","472,01","472,50","473,73","469,25","116,00M","0,32%"
"13.12.2023","470,50","464,49","470,76","464,12","89,90M","1,38%"
"12.12.2023","464,10","461,63","464,20","460,60","67,23M","0,46%"
"11.12.2023","461,99","459,69","462,17","459,47","65,00M","0,39%"
"08.12.2023","460,20","457,46","460,74","457,21","83,19M","0,43%"
"07.12.2023","458,23","456,91","458,90","456,29","65,82M","0,76%"
"06.12.2023","454,76","458,81","458,84","454,31","68,05M","-0,40%"
"05.12.2023","456,60","455,26","457,59","454,87","69,45M","-0,02%"
"04.12.2023","456,69","455,60","459,12","454,34","71,49M","-0,52%"
"01.12.2023","459,10","455,77","459,65","455,16","89,18M","0,59%"
"30.11.2023","456,40","455,48","456,76","453,34","79,42M","0,39%"
"29.11.2023","454,61","457,15","458,32","454,20","62,65M","-0,07%"
"28.11.2023","454,93","454,08","456,27","453,50","61,29M","0,10%"
"27.11.2023","454,48","454,65","455,49","454,08","50,17M","-0,18%"
"24.11.2023","455,30","455,07","455,50","454,73","29,74M","0,06%"
"22.11.2023","455,02","454,98","456,38","453,89","59,45M","0,39%"
"21.11.2023","453,27","453,18","454,13","451,96","48,87M","-0,22%"
"20.11.2023","454,26","450,53","455,13","450,52","70,06M","0,77%"
"17.11.2023","450,79","450,24","451,42","449,29","83,19M","0,12%"
"16.11.2023","450,23","449,22","450,56","448,12","66,01M","0,12%"
"15.11.2023","449,68","450,11","451,38","448,80","76,62M","0,21%"
"14.11.2023","448,73","446,32","450,06","446,09","95,82M","1,94%"
"13.11.2023","440,19","439,23","441,33","438,42","51,83M","-0,10%"
"10.11.2023","440,61","435,98","440,93","433,83","89,56M","1,56%"
"09.11.2023","433,84","438,43","438,47","433,40","81,88M","-0,78%"
"08.11.2023","437,25","437,55","438,09","434,87","61,24M","0,07%"
"07.11.2023","436,93","435,69","437,58","434,51","63,83M","0,28%"
"06.11.2023","435,69","435,47","436,15","433,68","67,02M","0,23%"
"03.11.2023","434,69","433,14","436,29","433,01","100,17M","0,91%"
"02.11.2023","430,76","426,58","430,92","426,56","93,18M","1,92%"
"01.11.2023","422,66","419,20","423,50","418,65","98,07M","1,07%"
"31.10.2023","418,20","416,18","418,53","414,21","77,71M","0,63%"
"30.10.2023","415,59","413,56","416,68","412,22","86,12M","1,20%"
"27.10.2023","410,68","414,19","414,60","409,21","107,37M","-0,45%"
"26.10.2023","412,55","416,45","417,33","411,60","114,13M","-1,20%"
"25.10.2023","417,55","421,89","421,92","417,02","94,22M","-1,44%"
"24.10.2023","423,63","422,65","424,82","420,74","76,54M","0,75%"
"23.10.2023","420,46","419,61","424,45","417,80","91,63M","-0,17%"
"20.10.2023","421,19","425,98","426,54","421,08","123,92M","-1,23%"
"19.10.2023","426,43","430,95","432,82","425,73","120,37M","-0,88%"
"18.10.2023","430,21","434,19","435,18","429,09","92,78M","-1,33%"
"17.10.2023","436,02","432,81","438,14","432,45","74,82M","0,00%"
"16.10.2023","436,04","433,82","437,14","433,57","75,06M","1,05%"
"13.10.2023","431,50","435,21","436,45","429,88","95,20M","-0,50%"
"12.10.2023","433,66","436,95","437,33","431,23","81,15M","-0,61%"
"11.10.2023","436,32","435,64","436,58","433,18","61,74M","0,41%"
"10.10.2023","434,54","432,94","437,22","432,53","78,31M","0,52%"
"09.10.2023","432,29","427,58","432,88","427,01","80,37M","0,64%"
"06.10.2023","429,54","421,97","431,13","420,60","113,27M","1,19%"
"05.10.2023","424,50","424,36","425,37","421,17","69,92M","-0,04%"
"04.10.2023","424,66","422,07","425,43","420,56","87,07M","0,73%"
"03.10.2023","421,59","425,06","427,37","420,18","102,99M","-1,34%"
"02.10.2023","427,31","426,62","428,60","424,46","83,26M","-0,04%"
"29.09.2023","427,48","431,67","431,85","425,91","115,11M","-0,24%"
"28.09.2023","428,52","425,48","430,25","424,87","90,92M","0,58%"
"27.09.2023","426,05","427,09","427,67","422,29","104,21M","0,04%"
"26.09.2023","425,88","429,09","429,82","425,02","95,77M","-1,47%"
"25.09.2023","432,23","429,17","432,27","428,72","69,87M","0,42%"
"22.09.2023","430,42","432,45","434,10","429,99","100,83M","-0,22%"
"21.09.2023","431,39","435,70","435,97","431,23","103,39M","-1,65%"
"20.09.2023","438,64","444,01","444,43","438,43","81,01M","-0,92%"
"19.09.2023","442,71","442,68","443,29","439,94","64,59M","-0,21%"
"18.09.2023","443,63","443,05","444,97","442,56","55,45M","0,06%"
"15.09.2023","443,37","447,14","447,48","442,92","111,85M","-1,55%"
"14.09.2023","450,36","449,07","451,08","447,71","82,08M","0,86%"
"13.09.2023","446,51","446,22","447,71","445,08","59,88M","0,12%"
"12.09.2023","445,99","446,95","448,53","445,39","66,93M","-0,55%"
"11.09.2023","448,45","448,24","448,77","446,47","59,91M","0,66%"
"08.09.2023","445,52","444,90","447,11","444,53","62,07M","0,15%"
"07.09.2023","444,85","443,11","445,55","442,75","69,79M","-0,31%"
"06.09.2023","446,22","448,40","448,51","443,81","70,00M","-0,67%"
"05.09.2023","449,24","450,73","451,06","449,17","54,78M","-0,43%"
"01.09.2023","451,19","453,17","453,67","449,68","58,94M","0,19%"
"31.08.2023","450,35","451,65","452,83","450,16","65,48M","-0,15%"
"30.08.2023","451,01","449,51","451,67","448,78","67,35M","0,41%"
"29.08.2023","449,16","442,65","449,45","442,46","82,61M","1,45%"
"28.08.2023","442,76","442,24","443,40","439,97","59,71M","0,63%"
"25.08.2023","439,97","438,68","441,30","435,00","102,33M","0,70%"
"24.08.2023","436,89","444,69","445,22","436,86","88,06M","-1,39%"
"23.08.2023","443,03","439,25","443,67","439,10","67,16M","1,11%"
"22.08.2023","438,15","441,18","441,18","437,57","64,46M","-0,27%"
"21.08.2023","439,34","437,55","440,11","435,32","68,38M","0,65%"
"18.08.2023","436,50","433,37","437,57","433,01","98,85M","0,05%"
"17.08.2023","436,29","441,16","441,43","435,75","94,79M","-0,76%"
"16.08.2023","439,64","442,46","444,18","439,53","78,69M","-0,73%"
"15.08.2023","442,89","446,27","446,64","442,30","75,00M","-1,16%"
"14.08.2023","448,11","444,70","448,11","444,38","47,47M","0,55%"
"11.08.2023","445,65","443,97","446,70","443,35","68,69M","-0,06%"
"10.08.2023","445,91","448,19","451,70","444,70","92,71M","0,04%"
"09.08.2023","445,75","449,03","449,20","444,96","77,47M","-0,67%"
"08.08.2023","448,75","448,08","450,70","445,27","71,36M","-0,43%"
"07.08.2023","450,71","448,71","450,86","447,99","58,36M","0,87%"
"04.08.2023","446,81","450,72","452,89","446,27","100,13M","-0,45%"
"03.08.2023","448,84","448,04","450,79","447,37","63,13M","-0,29%"
"02.08.2023","450,13","453,25","453,52","449,35","92,85M","-1,39%"
"01.08.2023","456,48","456,27","457,25","455,49","53,56M","-0,29%"
"31.07.2023","457,79","457,41","458,16","456,05","61,35M","0,19%"
"28.07.2023","456,92","455,88","457,78","452,49","80,01M","0,98%"
"27.07.2023","452,49","459,02","459,44","451,55","91,76M","-0,66%"
"26.07.2023","455,51","454,47","456,99","453,38","69,88M","0,02%"
"25.07.2023","455,44","453,92","456,73","453,87","54,60M","0,27%"
"24.07.2023","454,20","453,37","455,04","452,30","53,79M","0,45%"
"21.07.2023","452,18","453,96","454,17","452,17","71,28M","0,00%"
"20.07.2023","452,18","454,17","455,10","451,44","70,59M","-0,66%"
"19.07.2023","455,20","455,01","456,43","454,11","65,89M","0,22%"
"18.07.2023","454,19","450,50","454,86","450,05","79,44M","0,74%"
"17.07.2023","450,84","449,13","451,93","449,08","52,32M","0,35%"
"14.07.2023","449,28","450,48","451,36","448,49","69,82M","-0,06%"
"13.07.2023","449,56","447,90","450,38","447,45","71,70M","0,79%"
"12.07.2023","446,02","446,39","447,48","444,91","91,46M","0,80%"
"11.07.2023","442,46","440,45","442,97","439,44","64,12M","0,64%"
"10.07.2023","439,66","438,18","439,84","437,58","61,83M","0,25%"
"07.07.2023","438,55","438,63","442,64","438,30","86,13M","-0,25%"
"06.07.2023","439,66","439,42","440,10","437,06","80,36M","-0,78%"
"05.07.2023","443,13","441,91","443,89","441,90","58,42M","-0,15%"
"03.07.2023","443,79","442,87","444,07","442,65","32,79M","0,12%"
"30.06.2023","443,28","441,44","444,30","441,11","104,96M","1,18%"
"29.06.2023","438,11","435,96","438,28","435,54","67,88M","0,39%"
"28.06.2023","436,39","435,05","453,46","434,41","75,18M","0,05%"
"27.06.2023","436,17","432,35","436,81","431,88","71,51M","1,10%"
"26.06.2023","431,44","432,62","434,61","431,19","72,41M","-0,41%"
"23.06.2023","433,21","432,93","435,06","432,47","92,07M","-0,76%"
"22.06.2023","436,51","433,95","436,62","433,60","70,02M","0,36%"
"21.06.2023","434,94","436,16","436,99","434,33","76,51M","-0,51%"
"20.06.2023","437,18","437,45","438,37","435,03","74,81M","-0,52%"
"16.06.2023","439,46","443,02","443,61","438,97","114,17M","-0,71%"
"15.06.2023","442,60","436,33","443,90","436,23","108,84M","1,24%"
"14.06.2023","437,18","437,01","439,06","433,59","100,61M","0,12%"
"13.06.2023","436,66","435,32","437,33","434,63","94,82M","0,66%"
"12.06.2023","433,80","430,92","433,88","430,17","75,68M","0,91%"
"09.06.2023","429,90","429,96","431,99","428,87","85,65M","0,18%"
"08.06.2023","429,13","426,62","429,60","425,82","61,24M","0,60%"
"07.06.2023","426,55","428,44","429,62","426,11","85,37M","-0,35%"
"06.06.2023","428,03","426,67","428,58","425,99","63,26M","0,22%"
"05.06.2023","427,10","428,28","429,62","426,37","65,05M","-0,19%"
"02.06.2023","427,92","424,50","428,74","423,95","91,43M","1,45%"
"01.06.2023","421,82","418,09","422,92","416,79","88,56M","0,95%"
"31.05.2023","417,85","418,28","419,22","416,22","107,48M","-0,55%"
"30.05.2023","420,18","422,03","422,58","418,73","71,40M","0,04%"
"26.05.2023","420,02","415,33","420,77","415,25","93,83M","1,30%"
"25.05.2023","414,65","414,74","416,16","412,41","90,01M","0,87%"
"24.05.2023","411,09","412,42","412,82","409,88","87,50M","-0,72%"
"23.05.2023","414,09","417,08","418,72","413,68","86,38M","-1,12%"
"22.05.2023","418,79","418,64","420,39","417,35","60,75M","0,04%"
"19.05.2023","418,62","420,17","420,72","417,35","103,79M","-0,15%"
"18.05.2023","419,23","414,90","419,67","414,67","97,18M","0,96%"
"17.05.2023","415,23","412,35","415,86","410,64","87,29M","1,21%"
"16.05.2023","410,25","411,86","412,82","410,24","57,71M","-0,67%"
"15.05.2023","413,01","412,22","413,43","410,23","54,29M","0,35%"
"12.05.2023","411,59","413,42","413,64","409,07","70,48M","-0,13%"
"11.05.2023","412,13","411,95","412,43","409,97","70,16M","-0,17%"
"10.05.2023","412,85","413,88","414,54","408,87","96,14M","0,47%"
"09.05.2023","410,93","411,13","412,09","410,69","49,22M","-0,44%"
"08.05.2023","412,74","412,97","413,24","411,28","50,05M","0,03%"
"05.05.2023","412,63","408,91","413,72","408,64","87,89M","1,85%"
"04.05.2023","405,13","406,93","407,27","403,74","94,90M","-0,71%"
"03.05.2023","408,02","411,36","413,87","407,77","91,53M","-0,69%"
"02.05.2023","410,84","414,77","414,82","407,82","104,00M","-1,12%"
"01.05.2023","415,51","415,47","417,62","415,27","62,12M","-0,10%"
"28.04.2023","415,93","411,49","415,94","411,43","89,43M","0,85%"
"27.04.2023","412,41","407,00","412,69","406,74","92,97M","1,99%"
"26.04.2023","404,36","406,72","407,84","403,78","80,45M","-0,42%"
"25.04.2023","406,08","410,58","411,16","406,02","97,77M","-1,59%"
"24.04.2023","412,63","411,99","413,07","410,60","64,33M","0,10%"
"21.04.2023","412,20","412,19","412,68","410,17","73,46M","0,08%"
"20.04.2023","411,88","411,21","413,70","410,27","75,84M","-0,55%"
"19.04.2023","414,14","412,22","415,08","412,16","55,23M","-0,02%"
"18.04.2023","414,21","415,58","415,72","412,78","63,56M","0,07%"
"17.04.2023","413,94","412,37","413,96","411,08","66,44M","0,36%"
"14.04.2023","412,46","412,81","415,09","410,06","78,16M","-0,24%"
"13.04.2023","413,47","409,18","413,84","407,99","85,81M","1,33%"
"12.04.2023","408,05","411,87","412,17","407,44","86,42M","-0,41%"
"11.04.2023","409,72","410,26","411,18","408,92","59,30M","0,03%"
"10.04.2023","409,61","406,61","409,69","405,97","63,68M","0,10%"
"06.04.2023","409,19","406,77","409,48","405,68","63,74M","0,39%"
"05.04.2023","407,60","407,91","408,70","405,88","65,20M","-0,26%"
